Term,Description
fBody,FreqBody
tBody,TimeBody
tGravity,TimeGravity
gravity),Gravity
gravity,Gravity
Acc,Accel
Gyro,Gyroscp
Jerk,Jerk
Mag,Magnitud
mean(),Mean
std(),StdDev
mad(),MedianAbsDev
max(),Maximun
min(),Minimun
sma(),SignalMagArea
energy(),Energy
iqr(),InterqtlRange
entropy(),Entropy
arCoeff(),AutoRegresCoeff
correlation(),CorrCoeff
maxInds(),MaxIndxFreq
meanFreq(),AvrgFreq
skewness(),SkewnessFreq
kurtosis(),KurtosisFreq
bandsEnergy(),EnergyFreqInter
angle(),Angle
-X,X
-Y,Y
-Z,Z
(X,X
(Y,Y
(Z,Z
Mean),Mean
angle(,Angle
angle,Angle
-,
